PFCv2 Primary,PFCv2 Detailed,,PFCv1 Primary,PFCv1 Detailed
Note: PFCv2 is a superset of PFCv1. All new customers after December 2025 are on PFCv2. Existing customers as of December 2025 are on PFCv1 by default and can opt in to PFCv2 via the personal_finance_category_version parameter.,,,,
INCOME,INCOME_CHILD_SUPPORT,,,
INCOME,INCOME_DIVIDENDS,,INCOME,INCOME_DIVIDENDS
INCOME,INCOME_GIG_ECONOMY,,,
INCOME,INCOME_INTEREST_EARNED,,INCOME,INCOME_INTEREST_EARNED
INCOME,INCOME_LONG_TERM_DISABILITY,,,
INCOME,INCOME_MILITARY,,,
INCOME,INCOME_RENTAL,,,
INCOME,INCOME_RETIREMENT_PENSION,,INCOME,INCOME_RETIREMENT_PENSION
INCOME,INCOME_SALARY,,INCOME,INCOME_WAGES
INCOME,INCOME_TAX_REFUND,,INCOME,INCOME_TAX_REFUND
INCOME,INCOME_UNEMPLOYMENT,,INCOME,INCOME_UNEMPLOYMENT
INCOME,INCOME_OTHER,,INCOME,INCOME_OTHER_INCOME
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_AUTO,,,
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_BNPL,,,
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_CASH_ADVANCES,,,
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_EWA,,,
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_MORTGAGE,,,
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_PERSONAL,,,
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_STUDENT,,,
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_OTHER_DISBURSEMENT,,TRANSFER_IN,TRANSFER_IN_CASH_ADVANCES_AND_LOANS
LOAN_PAYMENTS,LOAN_PAYMENTS_CAR_PAYMENT,,LOAN_PAYMENTS,LOAN_PAYMENTS_CAR_PAYMENT
LOAN_PAYMENTS,LOAN_PAYMENTS_CASH_ADVANCES,,,
LOAN_PAYMENTS,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,,LOAN_PAYMENTS,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT
LOAN_PAYMENTS,LOAN_PAYMENTS_EWA,,,
LOAN_PAYMENTS,LOAN_PAYMENTS_MORTGAGE_PAYMENT,,LOAN_PAYMENTS,LOAN_PAYMENTS_MORTGAGE_PAYMENT
LOAN_PAYMENTS,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,,LOAN_PAYMENTS,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT
LOAN_PAYMENTS,LOAN_PAYMENTS_STUDENT_LOAN_PAYMENT,,LOAN_PAYMENTS,LOAN_PAYMENTS_STUDENT_LOAN_PAYMENT
LOAN_PAYMENTS,LOAN_PAYMENTS_OTHER_PAYMENT,,LOAN_PAYMENTS,LOAN_PAYMENTS_OTHER_PAYMENT
TRANSFER_IN,TRANSFER_IN_ACCOUNT_TRANSFER,,TRANSFER_IN,TRANSFER_IN_ACCOUNT_TRANSFER
TRANSFER_IN,TRANSFER_IN_DEPOSIT,,TRANSFER_IN,TRANSFER_IN_DEPOSIT
TRANSFER_IN,TRANSFER_IN_INVESTMENT_AND_RETIREMENT_FUNDS,,TRANSFER_IN,TRANSFER_IN_INVESTMENT_AND_RETIREMENT_FUNDS
TRANSFER_IN,TRANSFER_IN_SAVINGS,,TRANSFER_IN,TRANSFER_IN_SAVINGS
TRANSFER_IN,TRANSFER_IN_WIRE,,,
TRANSFER_IN,TRANSFER_IN_OTHER_TRANSFER_IN,,TRANSFER_IN,TRANSFER_IN_OTHER_TRANSFER_IN
TRANSFER_OUT,TRANSFER_OUT_ACCOUNT_TRANSFER,,TRANSFER_OUT,TRANSFER_OUT_ACCOUNT_TRANSFER
TRANSFER_OUT,TRANSFER_OUT_INVESTMENT_AND_RETIREMENT_FUNDS,,TRANSFER_OUT,TRANSFER_OUT_INVESTMENT_AND_RETIREMENT_FUNDS
TRANSFER_OUT,TRANSFER_OUT_SAVINGS,,TRANSFER_OUT,TRANSFER_OUT_SAVINGS
TRANSFER_OUT,TRANSFER_OUT_WIRE,,,
TRANSFER_OUT,TRANSFER_OUT_WITHDRAWAL,,TRANSFER_OUT,TRANSFER_OUT_WITHDRAWAL
TRANSFER_OUT,TRANSFER_OUT_OTHER_TRANSFER_OUT,,TRANSFER_OUT,TRANSFER_OUT_OTHER_TRANSFER_OUT
BANK_FEES,BANK_FEES_ATM_FEES,,BANK_FEES,BANK_FEES_ATM_FEES
BANK_FEES,BANK_FEES_INSUFFICIENT_FUNDS,,BANK_FEES,BANK_FEES_INSUFFICIENT_FUNDS
BANK_FEES,BANK_FEES_INTEREST_CHARGE,,BANK_FEES,BANK_FEES_INTEREST_CHARGE
